host_yrs_exp,room_private,accommodates,bedrooms,number_of_reviews,n_bathrooms,bathroom_private,log_price,has_parking,has_heating,has_ac,has_tv
7,0,4,2,0,2.0,1,4.969813299576,1,1,1,1
9,0,6,2,7,2.0,1,5.29831736654804,1,1,1,1
3,0,3,1,73,1.0,1,4.86753445045558,1,1,1,1
1,0,6,2,13,1.0,1,5.416100402204419,1,1,0,1
9,0,4,1,305,1.0,1,4.17438726989564,1,1,1,1
2,0,3,1,87,1.0,1,4.30406509320417,1,1,1,1
1,0,2,1,3,1.0,1,4.382026634673879,1,1,1,1
6,0,4,1,253,1.0,1,4.89034912822175,1,1,1,1
2,0,2,1,15,1.0,1,5.53733426701854,1,1,1,1
8,0,2,1,2,1.0,1,4.382026634673879,0,1,0,1
8,0,4,2,152,1.0,1,4.5217885770490405,1,1,1,1
3,0,8,3,15,2.0,1,5.18738580584075,1,1,0,1
5,0,6,2,71,1.0,1,4.976733742420571,1,1,1,1
9,0,4,1,3,1.0,1,4.60517018598809,1,1,1,1
6,0,2,2,5,1.0,1,5.572154032177759,1,1,1,1
8,0,5,1,0,1.0,1,5.29831736654804,0,1,1,1
5,0,5,2,89,1.0,1,5.14749447681345,1,1,1,1
7,0,4,2,49,1.0,1,4.248495242049359,1,1,1,1
5,0,6,4,33,2.5,1,5.525452939131781,1,1,0,1
3,0,2,1,0,1.0,1,4.86753445045558,1,1,1,1
2,0,4,1,99,1.5,1,5.010635294096259,1,1,1,1
5,0,4,2,0,1.0,1,4.382026634673879,1,1,1,0
5,0,6,2,94,2.0,1,4.90527477843843,1,1,1,1
2,0,5,2,3,1.0,1,4.39444915467244,1,1,1,1
0,0,2,1,1,1.5,1,4.59511985013459,1,1,1,1
2,0,4,2,0,2.5,1,5.4380793089232,1,0,1,1
6,0,4,1,150,1.0,1,4.753590191106361,1,1,0,1
4,0,6,3,25,2.0,1,5.2882670306945405,1,1,1,1
5,0,4,1,5,1.0,1,4.382026634673879,1,1,1,1
6,0,4,1,13,1.0,1,4.53259949315326,1,1,1,1
1,0,3,1,68,1.0,1,5.80814248998044,1,1,1,1
5,0,12,4,37,3.5,1,5.85793315448346,1,1,1,1
0,0,2,1,0,1.0,1,4.51085950651685,1,1,1,1
0,0,4,2,0,1.0,1,5.420534999272291,1,1,1,1
11,0,2,1,10,1.5,1,5.01727983681492,1,1,1,1
8,0,8,4,27,1.0,1,5.16478597392351,1,1,0,1
7,0,12,4,46,3.0,1,6.021023349349529,1,1,1,1
3,0,3,1,17,1.0,1,4.77068462446567,1,1,1,1
3,1,2,1,53,1.0,1,4.12713438504509,1,1,0,0
9,1,2,1,68,1.0,1,4.39444915467244,1,1,1,1
3,0,5,2,28,1.0,1,4.94875989037817,1,1,1,1
4,0,4,2,31,1.0,1,5.14749447681345,1,1,1,1
6,0,8,4,119,2.5,1,6.148468295917651,1,1,1,1
3,0,16,9,11,10.5,1,7.409136443920129,1,1,1,1
3,1,2,1,185,1.0,1,3.80666248977032,1,1,1,1
5,0,6,3,47,3.5,1,5.37989735354046,1,1,1,1
1,1,1,1,4,1.0,1,3.9120230054281495,1,1,1,1
6,0,4,2,63,1.0,1,4.36944785246702,1,1,1,1
6,1,2,1,426,1.5,1,4.31748811353631,1,1,1,1
2,0,2,1,5,1.0,1,5.53733426701854,1,1,1,1
3,0,2,1,9,1.0,1,4.20469261939097,1,1,0,1
3,0,4,1,173,1.0,1,4.91265488573605,1,1,0,0
10,0,2,1,44,1.0,1,5.1817835502920895,1,1,1,1
8,1,2,1,115,2.0,0,4.06044301054642,1,1,1,1
8,0,6,2,73,1.0,1,4.9416424226093,1,1,0,1
6,1,2,1,15,1.5,0,4.33073334028633,1,1,1,1
4,0,7,3,13,2.5,1,6.18620862390049,1,1,1,1
5,0,4,1,70,1.0,1,4.51085950651685,1,1,1,1
3,0,8,4,5,2.0,1,5.6937321388027,1,1,1,1
1,0,4,1,0,1.0,1,4.8283137373023,0,0,0,0
